#size: 130 23																						
# Age	Height (cm)	Weight (kg)	Total fat	Visceral fat	BMI	SF Body	SF Trunk	SF Arms	SF Legs	SM Body	SM Trunk	SM Arms	SM Legs	Shoulder R	Shoulder L	Rib	Waist	Thigh R	Thigh L	Flexion Angle (deg)	Extension (cm)	Force due to extension (N)
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	0	0	0
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	5	0.75	4
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	10	2.25	12
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	15	3.25	16
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	20	4	24
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	25	5	33
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	30	5.75	47
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	35	6.5	63
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	40	7.25	81
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	45	9.25	102
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	50	10	120
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	55	11.25	144
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	60	12.75	168
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	0	0	0
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	5	2.5	5
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	10	3	9
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	15	3.75	16
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	20	4.25	26
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	25	5.5	41
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	30	6.5	55
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	35	7.75	67
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	40	8.5	80
25	178.5	53.7	10.4	0.5	16.9	7	5.4	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	45	9.5	96
