#size: 780 23																						
# Age	Height (cm)	Weight (kg)	Total fat	Visceral fat	BMI	SF Body	SF Trunk	SF Arms	SF Legs	SM Body	SM Trunk	SM Arms	SM Legs	Shoulder R	Shoulder L	Rib	Waist	Thigh R	Thigh L	Flexion Angle (deg)	Extension (cm)	Force due to extension (N)
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	0	0	13
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	5	0.75	17
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	10	2.25	21
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	15	3.25	30
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	20	4	36
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	25	5	46
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	30	5.75	64
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	35	6.5	77
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	40	7.25	98
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	45	9.25	117
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	50	10	134
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	55	11.25	153
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	60	12.75	181
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	0	0	12
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	5	0.75	14
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	10	2.25	24
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	15	3.25	27
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	20	4	33
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	25	5	48
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	30	5.75	52
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	35	6.5	74
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	40	7.25	90
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	45	9.25	116
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	50	10	134
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	55	11.25	161
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	60	12.75	180
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	0	0	15
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	5	0.75	21
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	10	2.25	30
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	15	3.25	31
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	20	4	42
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	25	5	46
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	30	5.75	64
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	35	6.5	78
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	40	7.25	95
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	45	9.25	112
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	50	10	133
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	55	11.25	157
30	178	67.7	17.3	5	21.4	12	10.4	17.7	17	35.4	29.4	40.4	52.5	54	54	20	54	23	26	60	12.75	182
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	0	0	7
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	5	2.5	12
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	10	3	17
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	15	3.75	24
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	20	4.25	31
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	25	5.5	46
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	30	6.5	64
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	35	7.75	77
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	40	8.5	85
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	45	9.5	105
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	50	10.5	116
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	55	11.5	113
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	60	12	136
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	0	0	5
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	5	2.5	7
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	10	3	12
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	15	3.75	18
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	20	4.25	28
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	25	5.5	41
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	30	6.5	57
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	35	7.75	66
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	40	8.5	81
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	45	9.5	97
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	50	10.5	113
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	55	11.5	137
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	60	12	141
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	0	0	3
25	178.5	54.1	6.5	1	17.1	5.5	0	12.9	11.4	38.7	33.9	43.9	55.8	54	54	20	54	20	20	5	2.5	10
